Date,Time,Zone,Device,PPM,VOC
12/23/2021,00:00,Zone1,T1,531,19
12/23/2021,00:00,Zone1,T2,488,13
12/23/2021,00:00,Zone1,T3,414,2
12/23/2021,00:00,Zone1,T4,897,75
12/23/2021,00:00,Zone2,T1,534,20
12/23/2021,00:00,Zone2,T2,462,9
12/23/2021,00:01,Zone1,T3,422,3
12/23/2021,00:01,Zone1,T4,933,81
12/23/2021,00:02,Zone1,T1,526,19
12/23/2021,00:02,Zone1,T2,482,12
12/23/2021,00:02,Zone2,T1,498,14
12/23/2021,00:02,Zone2,T2,490,13
12/23/2021,00:03,Zone1,T1,531,19
12/23/2021,00:03,Zone1,T2,540,21
12/23/2021,00:03,Zone1,T3,422,3
12/23/2021,00:03,Zone1,T4,959,85
12/23/2021,00:03,Zone2,T1,519,18
12/23/2021,00:03,Zone2,T2,473,11
12/23/2021,00:04,Zone1,T1,523,18
12/23/2021,00:04,Zone1,T2,520,18
12/23/2021,00:04,Zone1,T3,415,2
12/23/2021,00:04,Zone1,T4,815,63
12/23/2021,00:04,Zone2,T1,524,18
12/23/2021,00:04,Zone2,T2,496,14
12/23/2021,00:05,Zone1,T1,548,22
12/23/2021,00:05,Zone1,T2,477,11
12/23/2021,00:05,Zone1,T3,422,3
12/23/2021,00:05,Zone1,T4,902,76
12/23/2021,00:05,Zone2,T1,482,12
12/23/2021,00:05,Zone2,T2,464,9
12/23/2021,00:06,Zone1,T1,543,21
12/23/2021,00:06,Zone1,T2,531,19
12/23/2021,00:06,Zone1,T3,418,2
12/23/2021,00:06,Zone1,T4,887,74
12/23/2021,00:06,Zone2,T1,470,10
12/23/2021,00:06,Zone2,T2,497,14
12/23/2021,00:07,Zone1,T1,526,19
12/23/2021,00:07,Zone1,T2,539,21
12/23/2021,00:07,Zone1,T3,417,2
12/23/2021,00:07,Zone1,T4,882,73
12/23/2021,00:07,Zone2,T1,530,19
12/23/2021,00:07,Zone2,T2,452,7
12/23/2021,00:08,Zone1,T1,552,23
12/23/2021,00:08,Zone1,T2,493,14
12/23/2021,00:08,Zone1,T3,414,2
12/23/2021,00:08,Zone1,T4,930,80
12/23/2021,00:08,Zone2,T1,524,18
12/23/2021,00:08,Zone2,T2,493,14
12/23/2021,00:09,Zone1,T1,543,21
12/23/2021,00:09,Zone1,T2,502,15
12/23/2021,00:09,Zone1,T3,418,2
12/23/2021,00:09,Zone1,T4,895,75
12/23/2021,00:09,Zone2,T1,487,13
12/23/2021,00:09,Zone2,T2,444,6
12/23/2021,00:10,Zone1,T1,508,16
12/23/2021,00:10,Zone1,T2,481,12
12/23/2021,00:10,Zone1,T3,425,3
12/23/2021,00:10,Zone1,T4,940,82
12/23/2021,00:10,Zone2,T1,477,11
12/23/2021,00:10,Zone2,T2,490,13
12/23/2021,00:11,Zone1,T1,542,21
12/23/2021,00:11,Zone1,T2,492,14
12/23/2021,00:11,Zone1,T3,417,2
12/23/2021,00:11,Zone1,T4,891,74
12/23/2021,00:11,Zone2,T1,537,20
12/23/2021,00:11,Zone2,T2,448,7
12/23/2021,00:12,Zone1,T1,531,19
12/23/2021,00:12,Zone1,T2,492,14
