Date,Time,Zone,Device,PPM,VOC
12/07/2021,12:48,Zone1,T1,614,32
12/07/2021,12:48,Zone1,T2,482,12
12/07/2021,12:48,Zone2,T1,659,39
12/07/2021,12:48,Zone2,T2,401,0
12/07/2021,12:49,Zone1,T1,545,22
12/07/2021,12:49,Zone1,T2,451,7
12/07/2021,12:49,Zone2,T1,584,28
12/07/2021,12:49,Zone2,T2,461,9
12/07/2021,12:50,Zone1,T1,548,22
12/07/2021,12:50,Zone1,T2,791,59
12/07/2021,12:51,Zone1,T1,700,45
12/07/2021,12:51,Zone1,T2,907,77
12/07/2021,12:51,Zone2,T1,581,27
12/07/2021,12:51,Zone2,T2,481,12
12/07/2021,12:52,Zone1,T1,650,38
12/07/2021,12:52,Zone1,T2,806,61
12/07/2021,12:52,Zone2,T1,597,30
12/07/2021,12:52,Zone2,T2,435,5
12/07/2021,12:53,Zone1,T1,665,40
12/07/2021,12:53,Zone1,T2,627,34
12/07/2021,12:53,Zone2,T1,633,35
12/07/2021,12:53,Zone2,T2,488,13
12/07/2021,12:54,Zone1,T1,813,62
12/07/2021,12:54,Zone1,T2,768,56
12/07/2021,12:54,Zone2,T1,840,67
12/07/2021,12:54,Zone2,T2,428,4
12/07/2021,12:55,Zone1,T1,645,37
12/07/2021,12:55,Zone1,T2,637,36
12/07/2021,12:55,Zone2,T1,821,64
12/07/2021,12:55,Zone2,T2,518,17
12/07/2021,12:56,Zone1,T1,649,37
12/07/2021,12:56,Zone1,T2,765,55
12/07/2021,12:56,Zone2,T1,821,64
12/07/2021,12:56,Zone2,T2,462,9
12/07/2021,12:57,Zone1,T1,715,47
12/07/2021,12:57,Zone1,T2,614,32
12/07/2021,12:57,Zone2,T1,868,71
12/07/2021,12:57,Zone2,T2,521,18
12/07/2021,12:59,Zone1,T1,612,32
12/07/2021,12:59,Zone1,T2,555,23
12/07/2021,12:59,Zone2,T1,902,76
12/07/2021,12:59,Zone2,T2,546,22
12/07/2021,13:00,Zone1,T1,706,46
12/07/2021,13:00,Zone1,T2,742,52
12/07/2021,13:00,Zone2,T1,761,54
12/07/2021,13:00,Zone2,T2,464,9
12/07/2021,13:01,Zone1,T1,569,25
12/07/2021,13:01,Zone1,T2,588,28
12/07/2021,13:01,Zone2,T1,690,44
12/07/2021,13:01,Zone2,T2,516,17
12/07/2021,13:02,Zone1,T1,623,33
12/07/2021,13:02,Zone1,T2,633,35
12/07/2021,13:02,Zone2,T1,891,74
12/07/2021,13:02,Zone2,T2,460,9
12/07/2021,13:03,Zone1,T1,710,47
12/07/2021,13:03,Zone1,T2,542,21
12/07/2021,13:04,Zone1,T1,567,25
12/07/2021,13:04,Zone1,T2,543,21
12/07/2021,13:04,Zone2,T1,945,83
12/07/2021,13:04,Zone2,T2,441,6
12/07/2021,13:05,Zone1,T1,565,25
12/07/2021,13:05,Zone1,T2,496,14
12/07/2021,13:06,Zone1,T1,638,36
12/07/2021,13:06,Zone1,T2,645,37
12/07/2021,13:06,Zone2,T1,1156,115
12/07/2021,13:06,Zone2,T2,456,8
12/07/2021,13:07,Zone1,T1,653,38
12/07/2021,13:07,Zone1,T2,545,22
12/07/2021,13:08,Zone1,T1,527,19
12/07/2021,13:08,Zone1,T2,659,39
12/07/2021,13:08,Zone2,T1,897,75
12/07/2021,13:08,Zone2,T2,470,10
